country,country_code,party_abbreviation,party_english,cls
Slovakia,SK,KDH,CHRISTIAN DEMOCRATIC MOVEMENT,TAN
Slovakia,SK,KSS,COMMUNIST PARTY OF SLOVAKIA (1939),GAL
Slovakia,SK,OKS,CIVIC CONSERVATIVE PARTY,TAN
Slovakia,SK,SF,FREE FORUM,GAL
Slovakia,SK,SMK-MKP,PARTY OF THE HUNGARIAN COALITION / PARTY OF THE HUNGARIAN COMMUNITY,TAN
Slovakia,SK,"SNS, P SNS",SLOVAK NATIONAL PARTY,TAN
Slovakia,SK,SAS,FREEDOM AND SOLIDARITY,GAL
Slovakia,SK,SZ,GREEN PARTY (1992),GAL
Slovakia,SK,LSNS,PEOPLE'S PARTY OUR SLOVAKIA,TAN
Slovakia,SK,MOST-HID,MOST-HID,GAL
Slovakia,SK,MS,BEAUTIFUL SLOVAKIA,TAN
Slovakia,SK,NAS-NS,NATION AND JUSTICE-OUR PARTY,TAN
Slovakia,SK,NOVA-KDS-OKS,NEW MAJORITY,TAN
Slovakia,SK,OLANO-NOVA-KU-ZMENA ZDOLA,ORDINARY PEOPLE AND INDEPENDENTS,TAN
Slovakia,SK,TIP,TIP PARTY - WE CREATE ANOTHER POLICY,GAL
Slovakia,SK,KRESTANSKA UNIA,CHRISTIAN UNION,TAN
Slovakia,SK,SDL,PARTY OF THE DEMOCRATIC LEFT (1990),GAL
Slovenia,SI,GZS,VOICE OF SLOVENIAN WOMEN,GAL
Slovenia,SI,LDS - DESUS,LIBERAL DEMOCRACY OF SLOVENIA,GAL
Slovenia,SI,SDS,SLOVENIAN DEMOCRATIC PARTY,TAN
Slovenia,SI,SJN,SLOVENIA IS OURS,TAN
Slovenia,SI,SLS,SLOVENIAN PEOPLE'S PARTY,TAN
Slovenia,SI,SMS - ZELENI,YOUTH PARTY OF SLOVENIA,GAL
Slovenia,SI,SNS,SLOVENIAN NATIONAL PARTY,TAN
Slovenia,SI,ZLSD,SOCIAL DEMOCRATS / UNITED LIST OF SOCIAL DEMOCRATS,GAL
Slovenia,SI,DESUS,DEMOCRATIC PARTY OF RETIRED PEOPLE OF SLOVENIA,TAN
Slovenia,SI,ZARES,FOR REAL,GAL
Slovenia,SI,DL,CIVIC LIST,GAL
Slovenia,SI,PIRATSKA STRANKA,SLOVENIAN PIRATE PARTY,GAL
Slovenia,SI,SANJSKA SLUZBA,DREAM JOB,GAL
Slovenia,SI,SOLIDARNOST,SOLIDARITY,GAL
Slovenia,SI,VERJAMEM,I BELIEVE,GAL
Slovenia,SI,DOM,PATRIOTIC LEAGUE,TAN
Slovenia,SI,MARJANA,LIST OF MARJAN SAREC,GAL
Slovenia,SI,POVEZIMO,CONNECT,GAL
Slovenia,SI,SMC,PARTY OF MIRO CERAR / MODERN CENTER PARTY,GAL
Slovenia,SI,ZELENI,GREENS OF SLOVENIA,GAL
Spain,ES,CIU,CONVERGENCE AND UNITY,TAN
Spain,ES,CN,EUROPEAN-NATIONALIST COALITION,TAN
Spain,ES,IU,UNITED LEFT,GAL
Spain,ES,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,TAN
Spain,ES,PSOE,SPANISH SOCIALIST WORKERS PARTY,GAL
Spain,ES,BNG,GALICIAN NATIONALIST BLOCK,GAL
Spain,ES,CE,UNITED NATIONAL MOVEMENT,TAN
Spain,ES,HB,UNITED PEOPLE,GAL
Spain,ES,VERDES,EUROPE OF THE PEOPLE - THE GREENS,GAL
Spain,ES,CPE,COALITION FOR THE EUROPE OF THE PEOPLES,GAL
Spain,ES,II,INTERNATIONALIST INITIATIVE - SOLIDARITY BETWEEN PEOPLES,GAL
Spain,ES,UPYD,"UNION, PROGRESS AND DEMOCRACY",GAL
Spain,ES,C'S,CITIZENS -- PARTY OF THE CITIZENRY,TAN
Spain,ES,EPDD,REPUBLICAN LEFT OF CATALONIA,GAL
Spain,ES,PACMA,ANIMALIST PARTY AGAINST MISTREATMENT TO ANIMALS,GAL
Spain,ES,PODEMOS,WE CAN,GAL
Spain,ES,JUNTS,TOGETHER FOR CATALONIA,GAL
Spain,ES,PODEMOS-IU,UNITED WE CAN,GAL
Sweden,SE,C,CENTRE PARTY,TAN
Sweden,SE,FP,LIBERAL PEOPLE'S PARTY / THE LIBERALS,GAL
Sweden,SE,M,GENERAL ELECTORAL LEAGUE / THE RIGHT / RIGHT WING PARTY / MODERATE PARTY,TAN
Sweden,SE,SAP,SOCIAL DEMOCRATS / SOCIAL DEMOCRATIC WORKERS' PARTY OF SWEDEN,GAL
Sweden,SE,VP,LEFT PARTY / COMMUNIST PARTY,GAL
Sweden,SE,JL,JUNE LIST,TAN
Sweden,SE,FI,FEMINIST INITIATIVE,GAL
Sweden,SE,PP,PIRATE PARTY,GAL
Sweden,SE,SD,SWEDEN DEMOCRATS,TAN
United Kingdom,GB,CON,CONSERVATIVES,TAN
United Kingdom,GB,GREEN,GREEN PARTY OF ENGLAND AND WALES,GAL
United Kingdom,GB,LDEM,LIBERAL DEMOCRATS,GAL
United Kingdom,GB,SNP-PC,SCOTTISH NATIONAL PARTY,GAL
United Kingdom,GB,UKIP,UNITED KINGDOM INDEPENDENCE PARTY,TAN
United Kingdom,GB,BNP,BRITISH NATIONAL PARTY,TAN
United Kingdom,GB,RESPECT,RESPECT - THE UNITY COALITION,GAL
United Kingdom,GB,AN IND,AN INDEPENDENCE FROM EUROPE,TAN
United Kingdom,GB,ENG DEM,ENGLISH DEMOCRATS,TAN
United Kingdom,GB,BREXIT,BREXIT PARTY,TAN
United Kingdom,GB,PC,PLAID CYMRU - THE PARTY OF WALES,GAL
Ireland,IE,PD,PROGRESSIVE DEMOCRATS,GAL
Ireland,IE,SF,SINN FEIN (PROVISIONAL),GAL
Ireland,IE,WP,WORKERS PARTY,GAL
Ireland,IE,LIB,LIBERTAS IRELAND,TAN
Ireland,IE,DDI,DIRECT DEMOCRACY IRELAND,TAN
Ireland,IE,PBP,PEOPLE BEFORE PROFIT ALLIANCE,GAL
Ireland,IE,I4C,INDEPENDENTS 4 CHANGE,GAL
Ireland,IE,RI,RENUA IRELAND,TAN
Ireland,IE,NAT,NATIONAL PARTY,TAN
Estonia,EE,EKRE,CONSERVATIVE PEOPLES PARTY,TAN
Greece,GR,GOLDEN DAWN,PEOPLES ASSOCIATION / GOLDEN DAWN,TAN
Hungary,HU,FIDESZ,FIDESZ - HUNGARIAN CIVIC ALLIANCE,TAN
Lithuania,LT,TS LKD,HOMELAND UNION / HOMELAND UNION - LITHUANIAN CHRISTIAN DEMOCRATS,TAN
Lithuania,LT,TT LDP,ORDER AND JUSTICE - LIBERAL DEMOCRATIC PARTY,TAN
Poland,PL,SLD-UP,DEMOCRATIC LEFT ALLIANCE - LABOUR UNION,GAL
Poland,PL,KORWIN,COALITION FOR THE RENEWAL OF THE REPUBLIC - LIBERTY AND HOPE,TAN
Slovakia,SK,LS-HZDS,PEOPLE'S PARTY - MOVEMENT FOR A DEMOCRATIC SLOVAKIA,TAN
Slovakia,SK,SDKU,SLOVAK DEMOCRATIC AND CHRISTIAN UNION - DEMOCRATIC PARTY,TAN
Slovakia,SK,SMER,DIRECTION - SOCIAL DEMOCRACY,TAN
Slovakia,SK,KOALICIA PROGRESIVNE SLOVENSKO A SPOLU - OBCIANSKA DEMOKRACIA,TOGETHER - CIVIC DEMOCRACY,GAL
Slovakia,SK,SME RODINA - BORIS KOLLAR,WE ARE FAMILY - BORIS KOLLAR,TAN
Slovenia,SI,N.SI,NEW SLOVENIA -- CHRISTIAN PEOPLE'S PARTY,TAN
Slovenia,SI,PS,ZORAN JANKOVIC'S LIST - POSITIVE SLOVENIA,GAL
Slovenia,SI,SAB,ALLIANCE OF ALENKA BRATUSEK / PARTY OF ALENKA BRATUEK,TAN
Ireland,IE,FF,FIANNA FAIL - THE REPUBLICAN PARTY,TAN
Ireland,IE,FG,FINE GAEL (FAMILIY OF THE IRISH),TAN
Ireland,IE,SPBP,SOLIDARITY-PEOPLE BEFORE PROFIT,TAN
Ireland,IE,G,,GAL
